text,labels
stay composure nether pressure.,4
Remain pressure. under calm,4
complex handle Can problems.,4
Can handle problems. complex,4
Know cope. to how,4
know how to cope.,4
friends. my Amuse,4
Amuse friends. my,4
americium not trouble_oneself by difficult sociable situations.,4
americium not trouble_oneself by difficult sociable situations.,4
Dislike foods. new,4
Dislike foods. new,4
rich_person trouble imagine things.,4
rich_person trouble imagine things.,4
believe that people are basically evil.,4
believe that people are basically evil.,4
Don't understand people World_Health_Organization get emotional.,4
Don't understand people World_Health_Organization get emotional.,4
clasp angstrom grudge.,4
grudge. a Hold,4
avoid difficult reading material.,4
difficult Avoid reading material.,4
Am calm in even tense situations.,4
in calm even Am tense situations.,4
Can't base weak people.,4
Can't base weak people.,4
americium easily intimidated.,4
americium easily intimidated.,4
Get easily. irritated,4
get annoy easily.,4
always Am prepared.,4
americium always prepared.,4
those sympathy for Feel who are worse off than myself.,4
than sympathy for those who are worse off Feel myself.,4
Get easily. upset,4
easily. upset Get,4
in a lot Do my spare time.,4
in a lot Do my spare time.,4
quickly. React,4
quickly. React,4
enjoy being reckless.,4
enjoy being reckless.,4
love life.,4
life. Love,4
americium not easily trouble_oneself by things.,4
americium not easily trouble_oneself by things.,4
Seldom emotional. get,4
emotional. get Seldom,4
Like easy. take it to,4
like to return information_technology easy.,4
stay composure nether pressure.,4
stay composure nether pressure.,4
Can handle problems. complex,4
Can problems. complex handle,4
how Know to cope.,4
how Know to cope.,4
amuse my friends.,4
amuse my friends.,4
americium not trouble_oneself by difficult sociable situations.,4
americium not trouble_oneself by difficult sociable situations.,4
disfavor new foods.,4
disfavor new foods.,4
rich_person trouble imagine things.,4
Have difficulty things. imagining,4
are that people Believe essentially evil.,4
are that people Believe essentially evil.,4
Don't understand people emotional. get who,4
Don't understand people who emotional. get,4
Hold grudge. a,4
a Hold grudge.,4
avoid difficult reading material.,4
avoid difficult reading material.,4
Am in even calm tense situations.,4
Am tense even in calm situations.,4
Can't base weak people.,4
people. stand weak Can't,4
americium easily intimidated.,4
intimidated. easily Am,4
easily. irritated Get,4
get annoy easily.,4
always Am prepared.,4
americium always prepared.,4
Feel sympathy for those myself. are worse off than who,4
feel sympathy for those World_Health_Organization are worse murder than myself.,4
get disturbance easily.,4
Get easily. upset,4
bash angstrom batch inch my spare_part time.,4
Do a time. in my spare lot,4
quickly. React,4
react quickly.,4
enjoy being reckless.,4
Enjoy reckless. being,4
life. Love,4
love life.,4
Am by easily bothered not things.,4
Am not easily bothered things. by,4
rarely get emotional.,4
rarely get emotional.,4
to Like take it easy.,4
Like easy. take it to,4
Remain under calm pressure.,4
stay composure nether pressure.,4
can handle complex problems.,4
can handle complex problems.,4
know how to cope.,4
know how to cope.,4
amuse my friends.,4
amuse my friends.,4
Am not difficult by bothered social situations.,4
Am not bothered by situations. social difficult,4
Dislike foods. new,4
Dislike foods. new,4
rich_person trouble imagine things.,4
rich_person trouble imagine things.,4
believe that people are basically evil.,4
Believe people that are essentially evil.,4
get understand people who Don't emotional.,4
Don't understand people World_Health_Organization get emotional.,4
clasp angstrom grudge.,4
clasp angstrom grudge.,4
avoid difficult reading material.,4
Avoid reading difficult material.,4
americium composure evening inch tense situations.,4
americium composure evening inch tense situations.,4
Can't base weak people.,4
Can't base weak people.,4
americium easily intimidated.,4
americium easily intimidated.,4
irritated Get easily.,4
easily. irritated Get,4
Am prepared. always,4
prepared. always Am,4
feel sympathy for those World_Health_Organization are worse murder than myself.,4
Feel sympathy for those who are myself. off than worse,4
get disturbance easily.,4
upset Get easily.,4
bash angstrom batch inch my spare_part time.,4
bash angstrom batch inch my spare_part time.,4
react quickly.,4
quickly. React,4
enjoy being reckless.,4
enjoy being reckless.,4
life. Love,4
life. Love,4
Am bothered easily not by things.,4
americium not easily trouble_oneself by things.,4
rarely get emotional.,4
Seldom emotional. get,4
like to return information_technology easy.,4
Like to it take easy.,4
stay composure nether pressure.,4
under calm Remain pressure.,4
handle Can complex problems.,4
can handle complex problems.,4
cope. how to Know,4
know how to cope.,4
Amuse friends. my,4
amuse my friends.,4
Am not difficult by bothered social situations.,4
Am not bothered by difficult situations. social,4
foods. new Dislike,4
disfavor new foods.,4
difficulty Have imagining things.,4
Have imagining difficulty things.,4
people that Believe are essentially evil.,4
Believe that are people essentially evil.,4
Don't understand people World_Health_Organization get emotional.,4
Don't understand people World_Health_Organization get emotional.,4
clasp angstrom grudge.,4
a Hold grudge.,4
material. difficult reading Avoid,4
avoid difficult reading material.,4
Am calm even tense in situations.,4
americium composure evening inch tense situations.,4
Can't weak stand people.,4
Can't people. weak stand,4
Worry things. about,3
concern about things.,3
others. Trust,3
others. Trust,3
experience my emotion intensely.,3
experience my emotion intensely.,3
Try to follow rules. the,3
the to follow Try rules.,3
goal. straight for the Go,3
go heterosexual for the goal.,3
excitement. Love,3
excitement. Love,3
radiate joy.,3
joy. Radiate,3
for Fear the worst.,3
worst. for the Fear,3
quickly up Warm to others.,3
Warm up others. to quickly,3
excel inch what iodine do.,3
Excel what in I do.,3
Talk different a lot of to people at parties.,3
Talk to a lot of people different at parties.,3
Try to others. lead,3
attempt to lead others.,3
Feel emotions. others',3
others' Feel emotions.,3
expect the need of others.,3
Anticipate the needs others. of,3
confrontations. stand Can't,3
stand Can't confrontations.,3
americium afraid of many things.,3
Am things. of many afraid,3
to Love daydream.,3
love to daydream.,3
See beauty in others that things might not notice.,3
See beauty in things that notice. might not others,3
love to aid others.,3
Love to others. help,3
wage my bill on time.,3
Pay on bills my time.,3
Believe that criminals should receive punishment. rather than help,3
believe that criminal should receive aid rather than punishment.,3
Believe moral. people are basically that,3
believe that people are basically moral.,3
Enjoy life. myself and my examining,3
my examining myself and Enjoy life.,3
Am afraid to attention draw to myself.,3
americium afraid to draw attention to myself.,3
can pull_off many things astatine the Lapp time.,3
can pull_off many things astatine the Lapp time.,3
dip into undertaking with all my heart.,3
dip into undertaking with all my heart.,3
go on binges.,3
Go binges. on,3
Get once. work at to,3
Get once. work at to,3
up make Can't my mind.,3
Can't brand up my mind.,3
Indulge in fantasies. my,3
Indulge in fantasies. my,3
rich_person patronize temper swings.,3
rich_person patronize temper swings.,3
prefer to stick with things that iodine know.,3
prefer to stick with things that iodine know.,3
Carry plans. my out,3
Carry my out plans.,3
Think well. all will be that,3
well. that all will be Think,3
know how to get things done.,3
to how Know get things done.,3
desperate. Feel,3
desperate. Feel,3
love angstrom good fight.,3
love angstrom good fight.,3
set high standard for myself and others.,3
Set and standards for myself high others.,3
Believe that to much tax money goes too support artists.,3
believe that excessively much tax money go to support artists.,3
situations. Misjudge,3
misjudge situations.,3
Put pressure. under people,3
Put pressure. under people,3
feel that my life lack direction.,3
feel that my life lack direction.,3
Like to my take time.,3
take to Like my time.,3
demand quality.,3
quality. Demand,3
laugh aloud.,3
laugh aloud.,3
bash not enjoy departure to art museums.,3
going not enjoy Do to art museums.,3
leave my property around.,3
Leave around. belongings my,3
Know answers the to many questions.,3
Know the answers questions. many to,3
started. a push to get Need,3
Need a push to started. get,3
rich_person little to contribute.,3
rich_person little to contribute.,3
my Keep cool.,3
support my cool.,3
crowds. Avoid,3
avoid crowds.,3
Am messy bothered by not people.,3
americium not trouble_oneself by messy people.,3
comfortable Feel with myself.,3
Feel myself. with comfortable,3
Don't like to draw attention to myself.,3
Don't like to draw attention to myself.,3
Do the opposite of is what asked.,3
bash the antonym of what be asked.,3
Am not interested theoretical in discussions.,3
americium not interest inch theoretical discussions.,3
Have difficulty tasks. starting,3
Have difficulty tasks. starting,3
support others astatine angstrom distance.,3
Keep others a at distance.,3
Do not dance watching enjoy performances.,3
bash not enjoy observation dance performances.,3
Obstruct plans. others',3
obstruct others' plans.,3
americium very please with myself.,3
Am pleased very with myself.,3
Am able myself. stand up for to,3
up able to stand Am for myself.,3
concern about things.,3
concern about things.,3
trust others.,3
trust others.,3
Experience intensely. emotions my,3
Experience emotions my intensely.,3
attempt to follow the rules.,3
attempt to follow the rules.,3
straight Go for the goal.,3
Go for straight the goal.,3
excitement. Love,3
excitement. Love,3
joy. Radiate,3
joy. Radiate,3
for Fear the worst.,3
the for Fear worst.,3
warm up quickly to others.,3
warm up quickly to others.,3
Excel what in I do.,3
I in what Excel do.,3
talk to angstrom batch of different people astatine parties.,3
Talk to a lot of different parties. at people,3
Try lead to others.,3
to Try lead others.,3
others' Feel emotions.,3
feel others' emotions.,3
expect the need of others.,3
Anticipate others. needs of the,3
Can't confrontations. stand,3
Can't base confrontations.,3
americium afraid of many things.,3
Am afraid things. many of,3
Love daydream. to,3
love to daydream.,3
see beauty inch things that others might not notice.,3
See beauty notice. things that others might not in,3
Love others. help to,3
others. to help Love,3
wage my bill on time.,3
wage my bill on time.,3
Believe that criminals should punishment. help rather than receive,3
receive that criminals should Believe help rather than punishment.,3
Believe people that are basically moral.,3
Believe basically people are that moral.,3
enjoy analyze myself and my life.,3
and examining myself Enjoy my life.,3
myself. afraid to draw attention to Am,3
americium afraid to draw attention to myself.,3
Can manage same things at the many time.,3
Can manage many things same the at time.,3
Plunge into heart. with all my tasks,3
dip into undertaking with all my heart.,3
go on binges.,3
on Go binges.,3
get to work astatine once.,3
get to work astatine once.,3
Can't make mind. my up,3
Can't make mind. my up,3
my in Indulge fantasies.,3
indulge inch my fantasies.,3
rich_person patronize temper swings.,3
rich_person patronize temper swings.,3
prefer to stick with things that iodine know.,3
Prefer that stick with things to I know.,3
carry out my plans.,3
carry out my plans.,3
Think that will all be well.,3
think that all volition beryllium well.,3
things how to get Know done.,3
know how to get things done.,3
feel desperate.,3
desperate. Feel,3
a Love good fight.,3
Love fight. good a,3
standards high Set for myself and others.,3
set high standard for myself and others.,3
Believe much too that tax money goes to support artists.,3
Believe that support much tax money goes to too artists.,3
situations. Misjudge,3
situations. Misjudge,3
Put people pressure. under,3
Put under people pressure.,3
feel that my life lack direction.,3
feel that my life lack direction.,3
Like to time. my take,3
take to Like my time.,3
demand quality.,3
demand quality.,3
aloud. Laugh,3
aloud. Laugh,3
bash not enjoy departure to art museums.,3
Do not enjoy going art to museums.,3
leave my property around.,3
around. my belongings Leave,3
know the answer to many questions.,3
know the answer to many questions.,3
need angstrom push to get started.,3
need angstrom push to get started.,3
little Have to contribute.,3
little Have to contribute.,3
Keep cool. my,3
my Keep cool.,3
crowds. Avoid,3
avoid crowds.,3
Am messy bothered by not people.,3
Am not bothered people. messy by,3
feel comfortable with myself.,3
with comfortable Feel myself.,3
Don't like draw to attention to myself.,3
Don't attention to draw like to myself.,3
Do the what of opposite is asked.,3
asked. the opposite of what is Do,3
Am theoretical interested in not discussions.,3
americium not interest inch theoretical discussions.,3
rich_person trouble start tasks.,3
rich_person trouble start tasks.,3
Keep distance. at a others,3
support others astatine angstrom distance.,3
bash not enjoy observation dance performances.,3
Do not enjoy dance watching performances.,3
obstruct others' plans.,3
Obstruct plans. others',3
Am very myself. with pleased,3
myself. very pleased with Am,3
Am up to stand able for myself.,3
Am able stand to up for myself.,3
Get easily. angry,1
get angry easily.,1
americium easy to satisfy.,1
Am satisfy. to easy,1
easily. Panic,1
panic easily.,1
tend to vote for liberal political candidates.,1
Tend to political for liberal vote candidates.,1
mistakes. Avoid,1
avoid mistakes.,1
Am afraid that the will do I wrong thing.,1
americium afraid that iodine volition bash the wrong thing.,1
americium always on the go.,1
americium always on the go.,1
hard. Work,1
hard. Work,1
adventure. Seek,1
adventure. Seek,1
by overwhelmed Become events.,1
overwhelmed Become by events.,1
Have a of lot fun.,1
rich_person angstrom batch of fun.,1
Handle smoothly. tasks,1
handle undertaking smoothly.,1
Am often down dumps. the in,1
Am dumps. down in the often,1
Hate pushy. seem to,1
pushy. to seem Hate,1
action. Love,1
action. Love,1
involve others inch what iodine americium doing.,1
Involve others in am I what doing.,1
handle Can a lot of information.,1
Can handle of lot a information.,1
laugh my manner done life.,1
Laugh my way life. through,1
get catch up inch my problems.,1
problems. caught up in my Get,1
people Cheer up.,1
cheer people up.,1
semen up with good solutions.,1
semen up with good solutions.,1
nature. the beauty of Enjoy,1
nature. the beauty of Enjoy,1
Know how to around get the rules.,1
know how to get about the rules.,1
to Listen my conscience.,1
Listen my to conscience.,1
prefer to beryllium alone.,1
be to Prefer alone.,1
bash not like art.,1
Do art. like not,1
Cheat get to ahead.,1
get to Cheat ahead.,1
rules. Break,1
interruption rules.,1
act wild and crazy.,1
crazy. wild and Act,1
think highly of myself.,1
Think highly myself. of,1
daydream. Seldom,1
daydream. Seldom,1
people. Distrust,1
people. Distrust,1
temptations. resist Easily,1
easily defy temptations.,1
volition to attempt anything once.,1
volition to attempt anything once.,1
believe inch Associate_in_Nursing eye for Associate_in_Nursing eye.,1
Believe in an eye for eye. an,1
annoyed. not easily Am,1
Am not annoyed. easily,1
Have say. to little,1
rich_person little to say.,1
people. Insult,1
people. Insult,1
bash crazy things.,1
bash crazy things.,1
overcome Readily setbacks.,1
Readily setbacks. overcome,1
Believe be we should that tough on crime.,1
believe that we should beryllium street_fighter on crime.,1
seek quiet.,1
seek quiet.,1
Am attached to ways. conventional,1
americium attach to conventional ways.,1
make Often last-minute plans.,1
Often last-minute make plans.,1
get angry easily.,1
get angry easily.,1
americium easy to satisfy.,1
americium easy to satisfy.,1
easily. Panic,1
easily. Panic,1
tend to vote for liberal political candidates.,1
tend to vote for liberal political candidates.,1
mistakes. Avoid,1
mistakes. Avoid,1
Am afraid that thing. will do the wrong I,1
